
AR PLASMA WITH DIFFUSION AND EXTERNAL CIRCUIT

pression, Pa           = 1.00E+02
gap length, cm         = 4.00E-01
channel radius, cm     = 4.00E-01
voltage, V             = 1.00E+03
resistance, Ohm        = 1.00E+05
gas temperature, K     = 3.00E+02
electrin density, cm-3 = 1.00E+06
end time, s            = 1.00E-03
PRESS ENTER TO CONTINUE ...
ZDPlasKin (version 2.0a) INIT:
  species        ... 8
  reactions      ... 13
  BOLSIG+ loader ... bolsigdb.dat : 2 species & 5 collisions
  species  link  ... 2
  process  link  ... 4
ZDPlasKin INFO: reset data and configuration
ZDPlasKin INFO: set accuracy 1.00D-10 (absolute) & 1.00D-05 (relative)
ZDPlasKin INIT DONE

        Time_s       dtime_s         EN_Td     Elec_cm-3
  3.782867E-06  2.486696E-10  6.164200E+00  1.793585E+11
  3.807943E-06  2.507022E-10  6.119462E+00  1.809054E+11
  3.833064E-06  2.522185E-10  6.072740E+00  1.824530E+11
  3.858229E-06  2.509439E-10  6.028070E+00  1.840010E+11
  3.883446E-06  2.499030E-10  5.981732E+00  1.855499E+11
  3.908712E-06  2.523344E-10  5.933974E+00  1.870990E+11
  3.934029E-06  2.548971E-10  5.894683E+00  1.886483E+11
  3.959403E-06  2.538806E-10  5.847760E+00  1.901979E+11
  3.984834E-06  2.538823E-10  5.808601E+00  1.917472E+11
  4.010330E-06  2.565321E-10  5.765590E+00  1.932968E+11
  4.035892E-06  2.564521E-10  5.719584E+00  1.948466E+11
  4.061522E-06  2.565434E-10  5.682406E+00  1.963967E+11
  4.087224E-06  2.566148E-10  5.638862E+00  1.979467E+11
  4.113002E-06  2.572741E-10  5.602383E+00  1.994970E+11
  4.138856E-06  2.566421E-10  5.560423E+00  2.010473E+11
  4.164792E-06  2.610613E-10  5.521978E+00  2.025977E+11
  4.190812E-06  2.618545E-10  5.480988E+00  2.041478E+11
  4.216913E-06  2.620041E-10  5.445083E+00  2.056977E+11
  4.243101E-06  2.624107E-10  5.405078E+00  2.072481E+11
  4.269373E-06  2.622633E-10  5.368090E+00  2.087985E+11
  4.295740E-06  2.629143E-10  5.330212E+00  2.103488E+11
  4.322204E-06  2.642270E-10  5.290058E+00  2.118992E+11
  4.348761E-06  2.650164E-10  5.255418E+00  2.134491E+11
  4.375420E-06  2.657046E-10  5.219005E+00  2.149987E+11
  4.402175E-06  2.700531E-10  5.181975E+00  2.165474E+11
  4.429035E-06  2.673383E-10  5.143632E+00  2.180955E+11
  4.456006E-06  2.722589E-10  5.106122E+00  2.196433E+11
  4.483084E-06  2.690608E-10  5.071911E+00  2.211901E+11
  4.510278E-06  2.740736E-10  5.034919E+00  2.227363E+11
  4.537580E-06  2.740462E-10  5.000886E+00  2.242812E+11
  4.565007E-06  2.747214E-10  4.965916E+00  2.258255E+11
  4.592552E-06  2.758826E-10  4.930317E+00  2.273686E+11
  4.620222E-06  2.768801E-10  4.894194E+00  2.289094E+11
  4.648021E-06  2.780747E-10  4.858710E+00  2.304464E+11
  4.675950E-06  2.787088E-10  4.824784E+00  2.319817E+11
  4.704014E-06  2.837228E-10  4.791295E+00  2.335159E+11
  4.732219E-06  2.845090E-10  4.756846E+00  2.350485E+11
  4.760565E-06  2.859069E-10  4.722559E+00  2.365813E+11
  4.789054E-06  2.857635E-10  4.691122E+00  2.381127E+11
  4.817687E-06  2.860663E-10  4.657208E+00  2.396419E+11
  4.846472E-06  2.904462E-10  4.621553E+00  2.411689E+11
  4.875402E-06  2.910031E-10  4.588871E+00  2.426933E+11
  4.904490E-06  2.946814E-10  4.553942E+00  2.442164E+11
  4.933734E-06  2.940552E-10  4.522268E+00  2.457372E+11
  4.963136E-06  2.981644E-10  4.486209E+00  2.472550E+11
  4.992705E-06  2.975432E-10  4.454416E+00  2.487696E+11
  5.022437E-06  2.968443E-10  4.420087E+00  2.502812E+11
  5.052344E-06  2.998662E-10  4.387237E+00  2.517908E+11
  5.082416E-06  3.027670E-10  4.353016E+00  2.532970E+11
  5.112669E-06  3.047660E-10  4.317686E+00  2.547999E+11
  5.143098E-06  3.033754E-10  4.284673E+00  2.562988E+11
  5.173713E-06  3.092091E-10  4.248621E+00  2.577935E+11
  5.204512E-06  3.072568E-10  4.216012E+00  2.592842E+11
  5.235504E-06  3.122793E-10  4.181572E+00  2.607708E+11
  5.266689E-06  3.100943E-10  4.147662E+00  2.622539E+11
  5.298068E-06  3.149510E-10  4.113406E+00  2.637333E+11
  5.329646E-06  3.145384E-10  4.079480E+00  2.652080E+11
  5.361430E-06  3.188199E-10  4.044426E+00  2.666782E+11
  5.393417E-06  3.179115E-10  4.009392E+00  2.681430E+11
  5.425615E-06  3.246066E-10  3.973878E+00  2.696019E+11
  5.458023E-06  3.270155E-10  3.940009E+00  2.710535E+11
  5.490649E-06  3.290196E-10  3.902378E+00  2.724993E+11
  5.523496E-06  3.293498E-10  3.866981E+00  2.739378E+11
  5.556566E-06  3.335583E-10  3.830011E+00  2.753690E+11
  5.589860E-06  3.338658E-10  3.793594E+00  2.767934E+11
  5.623384E-06  3.371323E-10  3.757743E+00  2.782106E+11
  5.657137E-06  3.390008E-10  3.719893E+00  2.796219E+11
  5.691126E-06  3.414085E-10  3.682497E+00  2.810257E+11
  5.725351E-06  3.420279E-10  3.643814E+00  2.824209E+11
  5.759823E-06  3.460064E-10  3.605678E+00  2.838083E+11
  5.794535E-06  3.493269E-10  3.567152E+00  2.851865E+11
  5.829500E-06  3.490885E-10  3.528524E+00  2.865556E+11
  5.864730E-06  3.511590E-10  3.489307E+00  2.879152E+11
  5.900216E-06  3.559331E-10  3.450292E+00  2.892643E+11
  5.935957E-06  3.591099E-10  3.410600E+00  2.906033E+11
  5.971966E-06  3.620018E-10  3.370152E+00  2.919313E+11
  6.008242E-06  3.645647E-10  3.329403E+00  2.932487E+11
  6.044790E-06  3.661413E-10  3.287779E+00  2.945552E+11
  6.081618E-06  3.702831E-10  3.247627E+00  2.958503E+11
  6.118725E-06  3.710675E-10  3.205903E+00  2.971338E+11
  6.156127E-06  3.743533E-10  3.164419E+00  2.984057E+11
  6.193821E-06  3.776914E-10  3.123796E+00  2.996660E+11
  6.231815E-06  3.829821E-10  3.083180E+00  3.009142E+11
  6.270122E-06  3.850082E-10  3.042778E+00  3.021506E+11
  6.308744E-06  3.870405E-10  3.001709E+00  3.033747E+11
  6.347695E-06  3.923869E-10  2.962137E+00  3.045869E+11
  6.386982E-06  3.937879E-10  2.921996E+00  3.057876E+11
  6.426617E-06  3.988994E-10  2.883348E+00  3.069768E+11
  6.466610E-06  4.013795E-10  2.844320E+00  3.081543E+11
  6.506974E-06  4.059024E-10  2.806351E+00  3.093206E+11
  6.547721E-06  4.084311E-10  2.768175E+00  3.104750E+11
  6.588868E-06  4.150647E-10  2.731908E+00  3.116169E+11
  6.630434E-06  4.181614E-10  2.696157E+00  3.127476E+11
  6.672435E-06  4.217981E-10  2.660654E+00  3.138667E+11
